ebook_no,title,author,downloads
1342,"Pride and Prejudice","Jane Austen",46565
46,"A Christmas Carol in Prose; Being a Ghost Story of Christmas","Charles Dickens",32040
2701,"Moby Dick; Or, The Whale","Herman Melville",24795
1080,"A Modest Proposal","Jonathan Swift",23987
25525,"The Works of Edgar Allan Poe, The Raven Edition","Edgar Allan Poe",23914
43,"The Strange Case of Dr. Jekyll and Mr. Hyde","Robert Louis Stevenson",23863
98,"A Tale of Two Cities","Charles Dickens",20808
2542,"Et dukkehjem. English","Henrik Ibsen",19942
219,"Heart of Darkness","Joseph Conrad",17761
7256,"The Gift of the Magi","O. Henry",17760
11,"Alice's Adventures in Wonderland","Lewis Carroll",16398
1661,"The Adventures of Sherlock Holmes","Arthur Conan Doyle",15823
345,"Dracula","Bram Stoker",15529
76,"Adventures of Huckleberry Finn","Mark Twain",15372
844,"The Importance of Being Earnest: A Trivial Comedy for Serious People","Oscar Wilde",15314
205,"Walden, and On The Duty Of Civil Disobedience","Henry David Thoreau",15302
25344,"The Scarlet Letter","Nathaniel Hawthorne",13561
1260,"Jane Eyre: An Autobiography","Charlotte Brontë",12751
44082,"The History of Modern Painting, Volume 3 (of 4)","Richard Muther",12735
5200,"Metamorphosis","Franz Kafka",12539
1952,"The Yellow Wallpaper","Charlotte Perkins Gilman",12256
2591,"Grimms' Fairy Tales","Jacob Grimm and Wilhelm Grimm",11617
4300,"Ulysses","James Joyce",11599
174,"The Picture of Dorian Gray","Oscar Wilde",11462
74,"The Adventures of Tom Sawyer","Mark Twain",11117
1635,"Ion","Plato",11089
160,"The Awakening, and Selected Short Stories","Kate Chopin",10861
1400,"Great Expectations","Charles Dickens",10660
408,"The Souls of Black Folk","W. E. B. Du Bois",10426
28860,"The Memoirs, Correspondence, And Miscellanies, From The Papers Of Thomas Jefferson","Thomas Jefferson",10300
1232,"Il Principe. English","Niccolò Machiavelli",10174
23,"Narrative of the Life of Frederick Douglass, an American Slave","Frederick Douglass",9975
1250,"Anthem","Ayn Rand",9966
41,"The Legend of Sleepy Hollow","Washington Irving",9947
16,"Peter Pan","J. M. Barrie",9898
2600,"War and Peace","graf Leo Tolstoy",9551
36,"The War of the Worlds","H. G. Wells",8929
203,"Uncle Tom's Cabin","Harriet Beecher Stowe",8303
158,"Emma","Jane Austen",7839
120,"Treasure Island","Robert Louis Stevenson",7810
2852,"The Hound of the Baskervilles","Arthur Conan Doyle",7796
2554,"Prestuplenie i nakazanie. English","Fyodor Dostoyevsky",7652
514,"Little Women","Louisa May Alcott",7555
58975,"Index of Project Gutenberg Works on Black History","Various",7507
28054,"The Brothers Karamazov","Fyodor Dostoyevsky",7298
1184,"The Count of Monte Cristo, Illustrated","Alexandre Dumas",7277
1497,"The Republic","Plato",7188
2814,"Dubliners","James Joyce",7073
3825,"Pygmalion","Bernard Shaw",7003
768,"Wuthering Heights","Emily Brontë",6941
45,"Anne of Green Gables","L. M. Montgomery",6565
3207,"Leviathan","Thomas Hobbes",6521
3600,"Essays of Michel de Montaigne — Complete","Michel de Montaigne",6378
27827,"The Kama Sutra of Vatsyayana","Vatsyayana",6268
2500,"Siddhartha","Hermann Hesse",6238
829,"Gulliver's Travels into Several Remote Nations of the World","Jonathan Swift",6143
11030,"Incidents in the Life of a Slave Girl, Written by Herself","Harriet A. Jacobs",5922
244,"A Study in Scarlet","Arthur Conan Doyle",5833
